,0,1,2,3,4,5,6
0,5.0,0.0,5.0,0.7,0.75,3.7793913761510787,0.37705483129433204
1,5.0,0.0,5.0,0.7,0.8,3.780336579879499,0.37741433214151315
2,5.0,0.0,5.0,0.7,0.85,3.78053088080393,0.3772077807664616
3,5.0,0.0,5.0,0.75,0.75,3.784013461081503,0.37608083633980305
4,5.0,0.0,5.0,0.75,0.8,3.782571190794321,0.37588985530697877
5,5.0,0.0,5.0,0.75,0.85,3.7842714518840515,0.37535847201627304
6,5.0,0.0,5.0,0.8,0.75,3.782344961443024,0.37702861877839394
7,5.0,0.0,5.0,0.8,0.8,3.7805107828172053,0.3779463032981626
8,5.0,0.0,5.0,0.8,0.85,3.7793125973498722,0.3782405437648093
9,5.0,0.0,10.0,0.7,0.75,3.779253433198571,0.3772443448999442
10,5.0,0.0,10.0,0.7,0.8,3.7789985990893635,0.3772508760458848
11,5.0,0.0,10.0,0.7,0.85,3.779604341067394,0.37630144376951624
12,5.0,0.0,10.0,0.75,0.75,3.7807451351852985,0.3768689286262522
13,5.0,0.0,10.0,0.75,0.8,3.7861827377365533,0.3750653320089046
14,5.0,0.0,10.0,0.75,0.85,3.782186356602727,0.3779482963224914
15,5.0,0.0,10.0,0.8,0.75,3.787519690717245,0.37523392299752195
16,5.0,0.0,10.0,0.8,0.8,3.7815105415301624,0.37497221825410343
17,5.0,0.0,10.0,0.8,0.85,3.7796397816492537,0.3772569231928393
18,5.0,0.0,25.0,0.7,0.75,3.776363201462791,0.3777436828630137
19,5.0,0.0,25.0,0.7,0.8,3.7783608875491703,0.37637233353802857
20,5.0,0.0,25.0,0.7,0.85,3.777890787453804,0.3772080284382538
21,5.0,0.0,25.0,0.75,0.75,3.7732328043875447,0.378970873084112
22,5.0,0.0,25.0,0.75,0.8,3.7789522013027566,0.3765556350944183
23,5.0,0.0,25.0,0.75,0.85,3.78345664644925,0.37619471426760837
24,5.0,0.0,25.0,0.8,0.75,3.774048955127285,0.3793604028247287
25,5.0,0.0,25.0,0.8,0.8,3.7790520271729315,0.3789005986827613
26,5.0,0.0,25.0,0.8,0.85,3.78313877924715,0.3768239793939225
27,5.0,0.0,50.0,0.7,0.75,3.7821169074665364,0.3750969533446087
28,5.0,0.0,50.0,0.7,0.8,3.7749425590443884,0.378280306145387
29,5.0,0.0,50.0,0.7,0.85,3.778817102772604,0.37637670647791877
30,5.0,0.0,50.0,0.75,0.75,3.776393470668705,0.3800612174701207
31,5.0,0.0,50.0,0.75,0.8,3.7760351532718923,0.37940352030713387
32,5.0,0.0,50.0,0.75,0.85,3.777840740175454,0.377055556666669
33,5.0,0.0,50.0,0.8,0.75,3.776333259733882,0.37718814424084474
34,5.0,0.0,50.0,0.8,0.8,3.7780022286495782,0.37717966509599404
35,5.0,0.0,50.0,0.8,0.85,3.775199997768672,0.3787454832301428
36,5.0,0.5,5.0,0.7,0.75,3.77912972170549,0.3777525791228745
37,5.0,0.5,5.0,0.7,0.8,3.778807730013409,0.3784010660418897
38,5.0,0.5,5.0,0.7,0.85,3.7843623624347904,0.3749283748490121
39,5.0,0.5,5.0,0.75,0.75,3.7830113520367212,0.37733123581854755
40,5.0,0.5,5.0,0.75,0.8,3.7789650365682785,0.376982859955482
41,5.0,0.5,5.0,0.75,0.85,3.7836105184752364,0.3772918889856174
42,5.0,0.5,5.0,0.8,0.75,3.777402725414115,0.37630845571527843
43,5.0,0.5,5.0,0.8,0.8,3.7823185300164455,0.3756499870354639
44,5.0,0.5,5.0,0.8,0.85,3.788305232673561,0.3745406765677801
45,5.0,0.5,10.0,0.7,0.75,3.7768865341955884,0.37727265746066935
46,5.0,0.5,10.0,0.7,0.8,3.7811420065250343,0.3771042848153819
47,5.0,0.5,10.0,0.7,0.85,3.7782660261141237,0.37860343638949756
48,5.0,0.5,10.0,0.75,0.75,3.7813518029929925,0.37623398342616815
